Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
13.157895,10.804094,15.804094,13.307018,1.683289,0.329919,333.333333,298.245614,371.491228,334.005848,24.282524,4.759287,8.77193,0.0,17.54386,8.918129,5.213618,1.02185,179.402979,,1,base
18.421053,15.774854,21.944444,18.497076,1.92328,0.376956,324.561404,286.549708,362.719298,325.321637,23.029491,4.513697,11.695906,5.847953,23.391813,13.567251,6.241139,1.223241,177.914768,,1,benchmark
14.619883,11.111111,17.836257,14.654971,1.987609,0.389564,327.48538,289.473684,368.421053,327.894737,23.180494,4.543293,8.77193,2.923977,17.690058,9.473684,4.777004,0.936276,179.927672,,1,onset
19.590643,16.081871,23.69883,19.733918,2.269281,0.444771,333.333333,295.321637,362.719298,331.783626,20.698409,4.056814,11.695906,5.847953,20.614035,12.982456,5.343601,1.047326,181.865568,,1,onset_benchmark
13.450292,11.111111,16.666667,13.710526,1.726047,0.338299,330.409357,292.397661,377.192982,332.982456,26.459071,5.185883,8.77193,2.777778,20.467836,9.678363,5.663324,1.109991,169.210135,,1,speed
18.71345,15.204678,22.821637,18.75731,2.338951,0.458426,330.409357,303.947368,365.643275,331.374269,20.65079,4.047481,11.695906,5.847953,26.315789,13.80117,6.585327,1.2907,170.51485,,1,speed_benchmark
15.204678,12.266082,18.435673,15.25731,1.978944,0.387866,327.48538,292.105263,365.497076,328.947368,21.099426,4.135411,11.695906,2.923977,20.614035,11.023392,5.726408,1.122355,169.228472,,1,speed_onset
20.467836,17.236842,24.269006,20.535088,2.302662,0.451313,327.48538,295.175439,365.497076,327.894737,20.771566,4.071152,13.157895,5.847953,23.391813,14.122807,5.355466,1.049652,171.019081,,1,speed_onset_benchmark
12.854031,10.239651,15.03268,12.694989,1.482767,0.290617,344.22658,315.795207,374.836601,345.46841,18.854323,3.695379,8.714597,2.178649,13.180828,8.213508,4.118067,0.807126,173.821976,,2,base
17.538126,14.586057,20.501089,17.514161,1.951568,0.3825,349.673203,317.973856,379.302832,350.130719,20.874591,4.091345,11.982571,4.357298,21.786492,12.156863,5.592595,1.096129,174.60692,,2,benchmark
14.814815,11.764706,17.875817,14.814815,1.804283,0.353633,352.941176,313.507625,390.087146,351.350763,22.632408,4.43587,8.714597,2.178649,17.429194,9.433551,4.41257,0.864848,173.545122,,2,onset
20.37037,17.636166,22.88671,20.363834,1.575147,0.308723,350.762527,313.616558,390.087146,351.67756,23.233106,4.553605,13.071895,6.535948,21.786492,13.834423,4.987108,0.977455,173.70693,,2,onset_benchmark
12.745098,10.446623,15.250545,12.727669,1.45875,0.28591,347.494553,311.546841,381.372549,348.649237,20.660256,4.049336,8.714597,4.357298,15.359477,8.997821,4.080641,0.799791,169.773372,,2,speed
18.300654,15.43573,21.786492,18.261438,1.877309,0.367946,352.941176,315.795207,383.442266,352.418301,20.211364,3.961355,13.071895,6.427015,19.716776,12.91939,4.326989,0.848074,170.047906,,2,speed_benchmark
15.141612,12.200436,17.657952,14.973856,1.730733,0.339217,349.673203,320.152505,385.83878,351.132898,20.860254,4.088535,8.714597,2.178649,19.716776,10.501089,5.464244,1.070972,168.109685,,2,speed_onset
21.132898,17.832244,23.747277,21.021786,1.920014,0.376316,348.583878,319.934641,381.372549,348.583878,19.542939,3.830346,13.071895,4.357298,21.786492,13.812636,5.436447,1.065524,168.265606,,2,speed_onset_benchmark
9.274194,6.854839,12.116935,9.53629,1.590731,0.311778,306.451613,261.895161,342.943548,304.395161,25.415119,4.981272,4.032258,0.0,12.096774,4.314516,3.897849,0.763964,196.68651,,3,base
14.919355,11.290323,18.165323,14.709677,2.113936,0.414324,310.483871,269.959677,354.83871,309.314516,26.73036,5.239054,8.064516,0.0,20.16129,7.822581,6.114416,1.198404,202.029661,,3,benchmark
